agent_id,o_zone_id,d_zone_id,o_node_id,d_node_id,agent_type,PCE,time_period,distance,travel_time,node_sequence,time_sequence
1557,19,21,1352,6253,1,1.0000,0759:17_0759:17,2.028,4.215,1352;6256;5214;11259;5587;5174;5868;6253;,0759:12;0800:00;0800:50;0801:03;0801:44;0802:14;0802:33;0803:30;
1558,19,24,1352,1325,1,1.0000,0711:18_0711:18,3.487,7.497,1352;6256;5232;5219;11173;5114;5592;1;2;3;4;5;5117;11255;5118;11910;10853;1325;,0711:18;0712:01;0712:39;0713:16;0714:21;0714:50;0715:32;0715:46;0715:59;0716:13;0716:26;0716:40;0716:54;0717:08;0717:29;0717:49;0718:14;0718:48;
1559,3,14,11159,5037,1,1.0000,0724:14_0724:14,4.338,7.665,11159;5112;5589;5114;11161;5103;5820;11147;5022;5524;5863;5009;5027;5010;4958;5030;11128;5037;,0724:12;0724:37;0725:00;0725:24;0725:49;0726:19;0727:24;0727:58;0728:11;0728:31;0729:18;0729:37;0729:52;0730:24;0730:39;0730:54;0731:11;0731:54;
1560,18,2,1286,11123,1,1.0000,0727:52_0727:52,1.984,3.626,1286;11125;5436;5018;5017;11123;,0727:48;0729:12;0729:37;0730:19;0731:01;0731:30;
1561,5,34,11282,1322,1,1.0000,0726:52_0726:52,2.492,4.220,11282;5208;5209;5211;5210;11172;5112;5589;1322;,0726:48;0727:20;0727:57;0728:29;0728:53;0729:39;0730:02;0730:25;0731:06;
1562,12,11,11151,5119,1,1.0000,0731:36_0731:36,1.936,4.597,11151;5109;4804;5106;5117;11255;5118;5727;5119;,0731:36;0732:03;0732:42;0733:14;0735:06;0735:30;0735:51;0736:04;0736:12;
1563,37,41,1353,5578,1,1.0000,0725:54_0725:54,3.445,5.292,1353;5589;5112;11160;5113;11148;5736;11146;5017;5018;5436;5578;,0725:54;0726:38;0727:01;0727:18;0727:37;0728:06;0728:25;0728:45;0729:06;0729:48;0730:30;0731:12;
1564,11,9,5119,5356,1,1.0000,0704:56_0704:56,1.703,3.753,5119;5727;5118;10854;7210;11763;5730;8172;6185;5175;11507;5216;5356;,0704:54;0705:03;0705:15;0705:29;0705:39;0705:50;0706:07;0706:34;0707:16;0707:29;0707:41;0708:15;0708:42;
1565,7,13,11281,5034,1,1.0000,0722:20_0722:20,5.131,9.753,11281;5214;6256;5232;5219;11173;5114;11161;5103;5820;11147;5022;5524;5863;5009;5027;11129;5034;,0722:18;0723:15;0724:05;0724:44;0725:20;0726:25;0726:55;0727:20;0727:50;0728:55;0729:29;0729:42;0730:02;0730:49;0731:08;0731:23;0731:38;0732:06;
1566,34,14,1319,5037,1,1.0000,0710:37_0710:37,2.434,4.575,1319;11124;5022;5524;5863;5009;5027;5010;4958;5030;11128;5037;,0710:36;0711:12;0711:26;0711:46;0712:33;0712:52;0713:07;0713:39;0713:53;0714:09;0714:26;0715:12;
1567,34,14,1319,5037,1,1.0000,0752:34_0752:34,2.434,4.530,1319;11124;5022;5524;5863;5009;5027;5010;4958;5030;11128;5037;,0752:30;0753:09;0753:23;0753:43;0754:30;0754:49;0755:04;0755:36;0755:50;0756:06;0756:23;0757:06;
1568,17,37,1289,1353,1,1.0000,0726:13_0726:13,2.747,5.576,1289;4952;5022;11147;5820;5103;11161;5114;5589;1353;,0726:12;0726:55;0727:51;0728:04;0728:38;0729:43;0730:13;0730:39;0731:02;0731:48;
1569,6,24,5238,1325,1,1.0000,0723:28_0723:28,4.770,8.432,5238;5208;5209;5211;5210;11172;5112;5589;5114;5592;1;2;3;4;5;5117;11255;5118;11910;10853;1325;,0723:24;0724:28;0725:05;0725:37;0726:02;0726:48;0727:10;0727:33;0727:57;0728:38;0728:52;0729:06;0729:19;0729:33;0729:46;0730:00;0730:14;0730:35;0730:56;0731:21;0731:54;
1570,6,17,5238,1289,1,1.0000,0740:05_0740:05,4.659,7.308,5238;5208;5209;5211;5210;11172;5112;11160;5113;11148;5736;11146;5017;5018;1289;,0740:00;0741:06;0741:43;0742:15;0742:39;0743:25;0743:48;0744:06;0744:24;0744:53;0745:12;0745:33;0745:54;0746:35;0747:24;
1571,3,20,11159,1356,1,1.0000,0711:43_0711:43,2.391,4.972,11159;5112;5589;5114;11173;5219;5232;6256;1356;,0711:42;0712:07;0712:30;0712:53;0713:30;0714:35;0715:11;0715:49;0716:42;
