name,road_link_id,from_node_id,to_node_id,direction,length,lanes,free_speed,capacity,link_type,link_type_name,jam_density,demand_type_code,count_sensor_id,speed_sensor_id
Holden St,0,5240,5009,1,0.2969,2,36,814,3,Principal arterial,1301,,,
Connector,0,11181,1349,1,0.3091,7,21,10000,1,Zone Connector,1302,,,
Connector,0,11181,1352,1,0.3966,7,21,10000,1,Zone Connector,1303,,,
Holden St,0,5240,5010,1,0.13471,2,36,814,3,Principal arterial,1304,,,
South Jordan,0,5356,5216,1,0.1926,2,27,773,3,Principal arterial,1305,,,
7000 South,0,5436,5577,1,0.187,2,36,814,3,Principal arterial,1306,,,
7000 South,0,5436,11125,1,0.2509,2,36,814,3,Principal arterial,1307,,,
Connector,0,11183,1355,1,0.2952,7,21,10000,1,Zone Connector,1308,,,
Connector,0,11183,1356,1,0.3674,7,21,10000,1,Zone Connector,1309,,,
7000 South,0,5440,11125,1,0.27677,2,36,814,3,Principal arterial,1310,,,
7000 South,0,5440,11127,1,0.25977,2,36,814,3,Principal arterial,1311,,,
7000 South,0,5441,5861,1,0.10732,2,36,814,3,Principal arterial,1312,,,
7000 South,0,5441,11126,1,0.11932,2,36,814,3,Principal arterial,1313,,,
7800 South,0,5524,5022,1,0.1988,2,36,814,3,Principal arterial,1314,,,
7800 South,0,5524,5863,1,0.4697,2,36,814,3,Principal arterial,1315,,,
Connector,0,11257,1404,1,0.1389,7,20,10000,1,Zone Connector,1316,,,
7000 South,0,5577,5436,1,0.187,2,36,814,3,Principal arterial,1317,,,
South Jordan,0,5587,5174,1,0.2961,2,36,814,3,Principal arterial,1318,,,
Connector,0,11259,1356,1,0.3823,7,21,10000,1,Zone Connector,1319,,,
South Jordan,0,5587,11259,1,0.4105,2,36,814,3,Principal arterial,1320,,,
7000 South,0,5861,5441,1,0.10732,2,36,814,3,Principal arterial,1321,,,
Connector,0,11261,1352,1,0.3863,7,21,10000,1,Zone Connector,1322,,,
Connector,0,11261,1397,1,0.6112,7,21,10000,1,Zone Connector,1323,,,
7000 South,0,5861,10872,1,0.1205,2,36,814,3,Principal arterial,1324,,,
7800 South,0,5863,5009,1,0.1904,2,36,814,3,Principal arterial,1325,,,
7800 South,0,5863,5524,1,0.4697,2,36,814,3,Principal arterial,1326,,,
South Jordan,0,5868,5174,1,0.1943,2,36,814,3,Principal arterial,1327,,,
Connector,0,11489,1360,1,0.2373,7,20,10000,1,Zone Connector,1328,,,
South Jordan,0,5868,5216,1,0.3901,2,27,773,3,Principal arterial,1329,,,
9400 Sout,0,7984,11489,1,0.1026,1,30,814,3,Principal arterial,1330,,,
