link_id,from_node_id,to_node_id,time_period,volume,CA,CD,queue,travel_time,waiting_time_in_sec,speed,notes
2,3,4,0736:00_0737:00,83.000,2917.000,2834.000,1.000,1.008,0.459,59.545,simulation-based
2,3,4,0737:00_0738:00,83.000,3002.000,2917.000,0.000,1.016,0.988,59.028,simulation-based
2,3,4,0738:00_0739:00,84.000,3085.000,3001.000,1.000,1.011,0.683,59.325,simulation-based
2,3,4,0739:00_0740:00,81.000,3167.000,3082.000,3.000,1.013,0.810,59.201,simulation-based
2,3,4,0740:00_0741:00,84.000,3251.000,3166.000,1.000,1.010,0.571,59.434,simulation-based
2,3,4,0741:00_0742:00,85.000,3335.000,3251.000,0.000,1.007,0.422,59.581,simulation-based
2,3,4,0742:00_0743:00,84.000,3418.000,3335.000,0.000,1.002,0.146,59.854,simulation-based
2,3,4,0743:00_0744:00,83.000,3500.000,3418.000,0.000,1.012,0.690,59.317,simulation-based
2,3,4,0744:00_0745:00,81.000,3584.000,3499.000,1.000,1.003,0.153,59.847,simulation-based
2,3,4,0745:00_0746:00,85.000,3669.000,3584.000,0.000,1.010,0.578,59.427,simulation-based
2,3,4,0746:00_0747:00,84.000,3752.000,3668.000,1.000,1.006,0.373,59.629,simulation-based
2,3,4,0747:00_0748:00,83.000,3835.000,3751.000,1.000,1.034,2.036,58.031,simulation-based
2,3,4,0748:00_0749:00,80.000,3918.000,3831.000,4.000,1.011,0.655,59.352,simulation-based
2,3,4,0749:00_0750:00,86.000,4002.000,3917.000,1.000,1.012,0.699,59.309,simulation-based
2,3,4,0750:00_0751:00,83.000,4085.000,4000.000,2.000,1.012,0.690,59.317,simulation-based
2,3,4,0751:00_0752:00,85.000,4169.000,4085.000,0.000,1.004,0.268,59.733,simulation-based
2,3,4,0752:00_0753:00,83.000,4251.000,4168.000,1.000,1.009,0.512,59.492,simulation-based
2,3,4,0753:00_0754:00,82.000,4335.000,4250.000,1.000,1.013,0.759,59.250,simulation-based
2,3,4,0754:00_0755:00,83.000,4418.000,4333.000,2.000,1.131,7.881,53.034,simulation-based
2,3,4,0755:00_0756:00,85.000,4502.000,4418.000,0.000,1.510,30.590,39.739,simulation-based
2,3,4,0756:00_0757:00,64.000,4585.000,4482.000,20.000,1.906,54.381,31.474,simulation-based
2,3,4,0757:00_0758:00,59.000,4669.000,4541.000,44.000,2.293,77.578,26.167,simulation-based
2,3,4,0758:00_0759:00,61.000,4752.000,4602.000,67.000,2.697,101.805,22.249,simulation-based
2,3,4,0759:00_0800:00,59.000,4834.000,4661.000,91.000,3.066,123.952,19.570,simulation-based
2,3,4,0800:00_0801:00,63.000,4918.000,4724.000,110.000,3.490,149.390,17.193,simulation-based
2,3,4,0801:00_0802:00,57.000,5000.000,4781.000,137.000,1.000,0.000,60.000,simulation-based
2,3,4,0802:00_0803:00,62.000,5000.000,4843.000,157.000,1.000,0.000,60.000,simulation-based
2,3,4,0803:00_0804:00,58.000,5000.000,4901.000,99.000,1.000,0.000,60.000,simulation-based
2,3,4,0804:00_0805:00,61.000,5000.000,4962.000,38.000,1.000,0.000,60.000,simulation-based
2,3,4,0805:00_0806:00,38.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0806:00_0807:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0807:00_0808:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0808:00_0809:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0809:00_0810:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0810:00_0811:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0811:00_0812:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0812:00_0813:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0813:00_0814:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0814:00_0815:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0815:00_0816:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0816:00_0817:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0817:00_0818:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0818:00_0819:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0819:00_0820:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0820:00_0821:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
